# tigers connected to central connector of MM2 with gem-tiger board, inverted
# connector (FEB), pin (on FEB3_pinout scheme) : detector, channel
2, 138 :  MM2, 212
2, 140 :  MM2, 213
2, 128 :  MM2, 211
2, 142 :  MM2, 214
2, 126 :  MM2, 210
2, 144 :  MM2, 215
2, 124 :  MM2, 209
2, 136 :  MM2, 216
2, 122 :  MM2, 208
2, 134 :  MM2, 217
2, 120 :  MM2, 207
2, 132 :  MM2, 218
2, 118 :  MM2, 206
2, 130 :  MM2, 219
2, 116 :  MM2, 205
2, 143 :  MM2, 220
2, 114 :  MM2, 204
2, 141 :  MM2, 221
2, 112 :  MM2, 203
2, 139 :  MM2, 222
2, 110 :  MM2, 202
2, 137 :  MM2, 223
2, 108 :  MM2, 201
2, 135 :  MM2, 224
2, 106 :  MM2, 200
2, 133 :  MM2, 225
2, 104 :  MM2, 199
2, 91 :  MM2, 226
2, 102 :  MM2, 198
2, 89 :  MM2, 227
2, 100 :  MM2, 197
2, 87 :  MM2, 228
2, 98 :  MM2, 196
2, 85 :  MM2, 229
2, 96 :  MM2, 195
2, 83 :  MM2, 230
2, 94 :  MM2, 194
2, 81 :  MM2, 231
2, 92 :  MM2, 193
2, 79 :  MM2, 232
2, 90 :  MM2, 192
2, 77 :  MM2, 233
2, 88 :  MM2, 191
2, 75 :  MM2, 234
2, 86 :  MM2, 190
2, 73 :  MM2, 235
2, 84 :  MM2, 189
2, 71 :  MM2, 236
2, 82 :  MM2, 188
2, 69 :  MM2, 237
2, 80 :  MM2, 187
2, 67 :  MM2, 238
2, 78 :  MM2, 186
2, 65 :  NC, 0
2, 76 :  MM2, 185
2, 63 :  NC, 0
2, 74 :  MM2, 184
2, 61 :  NC, 0
2, 72 :  MM2, 183
2, 59 :  NC, 0
2, 70 :  MM2, 182
2, 57 :  NC, 0
2, 68 :  MM2, 181
2, 55 :  NC, 0
2, 66 :  MM2, 180
2, 53 :  NC, 0
2, 64 :  MM2, 179
2, 51 :  NC, 0
2, 62 :  MM2, 178
2, 49 :  NC, 0
2, 60 :  MM2, 177
2, 47 :  NC, 0
2, 58 :  MM2, 176
2, 45 :  NC, 0
2, 56 :  MM2, 175
2, 43 :  NC, 0
2, 54 :  MM2, 174
2, 41 :  MM2, 123
2, 52 :  MM2, 173
2, 39 :  MM2, 124
2, 50 :  MM2, 172
2, 37 :  MM2, 125
2, 48 :  MM2, 171
2, 35 :  MM2, 126
2, 46 :  MM2, 170
2, 33 :  MM2, 127
2, 44 :  MM2, 169
2, 31 :  MM2, 128
2, 42 :  MM2, 168
2, 29 :  MM2, 129
2, 40 :  MM2, 167
2, 27 :  MM2, 130
2, 38 :  MM2, 166
2, 25 :  MM2, 131
2, 36 :  MM2, 165
2, 23 :  MM2, 132
2, 34 :  MM2, 164
2, 21 :  MM2, 133
2, 32 :  MM2, 163
2, 19 :  MM2, 134
2, 30 :  MM2, 162
2, 17 :  MM2, 135
2, 28 :  MM2, 161
2, 15 :  MM2, 136
2, 26 :  MM2, 160
2, 13 :  MM2, 137
2, 24 :  MM2, 159
2, 11 :  MM2, 138
2, 22 :  MM2, 158
2, 9 :  MM2, 139
2, 20 :  MM2, 157
2, 7 :  MM2, 140
2, 18 :  MM2, 156
2, 5 :  MM2, 141
2, 16 :  MM2, 155
2, 3 :  MM2, 142
2, 14 :  MM2, 154
2, 1 :  MM2, 143
2, 12 :  MM2, 153
2, 10 :  MM2, 152
2, 8 :  MM2, 151
2, 6 :  MM2, 150
2, 4 :  MM2, 149
2, 2 :  MM2, 148
