# tigers connected to right connector of MM0 with gem-tiger board
# connector (FEB), pin (on FEB3_pinout scheme) : detector, channel
1, 144 :  MM0, 264.0
1, 142 :  MM0, 263.0
1, 128 :  MM0, 265.0
1, 140 :  MM0, 262.0
1, 126 :  MM0, 266.0
1, 138 :  MM0, 261.0
1, 124 :  MM0, 267.0
1, 136 :  MM0, 260.0
1, 122 :  MM0, 268.0
1, 134 :  MM0, 259.0
1, 120 :  MM0, 269.0
1, 132 :  MM0, 258.0
1, 118 :  MM0, 270.0
1, 130 :  MM0, 257.0
1, 116 :  MM0, 271.0
1, 143 :  MM0, 256.0
1, 114 :  MM0, 272.0
1, 141 :  MM0, 255.0
1, 112 :  MM0, 273.0
1, 139 :  MM0, 254.0
1, 110 :  MM0, 274.0
1, 137 :  MM0, 253.0
1, 108 :  MM0, 275.0
1, 135 :  MM0, 252.0
1, 106 :  MM0, 276.0
1, 133 :  MM0, 251.0
1, 104 :  MM0, 277.0
1, 91 :  MM0, 250.0
1, 102 :  MM0, 278.0
1, 89 :  MM0, 249.0
1, 100 :  MM0, 279.0
1, 87 :  MM0, 248.0
1, 98 :  MM0, 280.0
1, 85 :  MM0, 247.0
1, 96 :  MM0, 281.0
1, 83 :  MM0, 246.0
1, 94 :  MM0, 282.0
1, 81 :  MM0, 245.0
1, 92 :  MM0, 283.0
1, 79 :  MM0, 244.0
1, 90 :  MM0, 284.0
1, 77 :  MM0, 243.0
1, 88 :  MM0, 285.0
1, 75 :  MM0, 242.0
1, 86 :  MM0, 286.0
1, 73 :  MM0, 241.0
1, 84 :  MM0, 287.0
1, 71 :  MM0, 240.0
1, 82 :  MM0, 288.0
1, 69 :  MM0, 239.0
1, 80 :  MM0, 289.0
1, 67 :  NC, 0
1, 78 :  MM0, 290.0
1, 65 :  NC, 0
1, 76 :  MM0, 291.0
1, 63 :  NC, 0
1, 74 :  MM0, 292.0
1, 61 :  NC, 0
1, 72 :  MM0, 293.0
1, 59 :  NC, 0
1, 70 :  MM0, 294.0
1, 57 :  NC, 0
1, 68 :  MM0, 295.0
1, 55 :  MM0, 360.0
1, 66 :  MM0, 296.0
1, 53 :  MM0, 359.0
1, 64 :  MM0, 297.0
1, 51 :  MM0, 358.0
1, 62 :  MM0, 298.0
1, 49 :  MM0, 357.0
1, 60 :  MM0, 299.0
1, 47 :  MM0, 356.0
1, 58 :  MM0, 300.0
1, 45 :  MM0, 355.0
1, 56 :  MM0, 301.0
1, 43 :  MM0, 354.0
1, 54 :  MM0, 302.0
1, 41 :  MM0, 353.0
1, 52 :  MM0, 303.0
1, 39 :  MM0, 352.0
1, 50 :  MM0, 304.0
1, 37 :  MM0, 351.0
1, 48 :  MM0, 305.0
1, 35 :  MM0, 350.0
1, 46 :  MM0, 306.0
1, 33 :  MM0, 349.0
1, 44 :  MM0, 307.0
1, 31 :  MM0, 348.0
1, 42 :  MM0, 308.0
1, 29 :  MM0, 347.0
1, 40 :  MM0, 309.0
1, 27 :  MM0, 346.0
1, 38 :  MM0, 310.0
1, 25 :  MM0, 345.0
1, 36 :  MM0, 311.0
1, 23 :  MM0, 344.0
1, 34 :  MM0, 312.0
1, 21 :  MM0, 343.0
1, 32 :  MM0, 313.0
1, 19 :  MM0, 342.0
1, 30 :  MM0, 314.0
1, 17 :  MM0, 341.0
1, 28 :  MM0, 315.0
1, 15 :  MM0, 340.0
1, 26 :  MM0, 316.0
1, 13 :  MM0, 339.0
1, 24 :  MM0, 317.0
1, 11 :  MM0, 338.0
1, 22 :  MM0, 318.0
1, 9 :  MM0, 337.0
1, 20 :  MM0, 319.0
1, 7 :  MM0, 336.0
1, 18 :  MM0, 320.0
1, 5 :  MM0, 335.0
1, 16 :  MM0, 321.0
1, 3 :  MM0, 334.0
1, 14 :  MM0, 322.0
1, 1 :  MM0, 333.0
1, 12 :  MM0, 323.0
1, 10 :  MM0, 324.0
1, 8 :  MM0, 325.0
1, 6 :  MM0, 326.0
1, 4 :  MM0, 327.0
1, 2 :  MM0, 328.0
