# Generated from RUN_1, SubRUNs 0-6
0 5 50 343 427
0 5 51 396 455
0 5 53 360 418
0 5 54 343 390
0 5 55 367 437
0 5 56 372 435
0 5 57 376 430
0 5 59 382 441
0 5 60 368 449
0 5 61 333 442
0 6 0 391 410
0 6 1 354 395
0 6 2 391 402
0 6 3 404 451
0 6 4 410 474
0 6 6 411 436
0 6 7 438 491
0 6 8 385 404
0 6 9 401 445
0 6 10 446 510
0 6 11 358 400
0 6 13 397 451
0 6 14 410 433
0 6 15 436 483
0 6 17 446 494
0 6 19 463 502
0 6 21 478 501
0 6 23 450 507
0 6 24 367 387
0 6 25 398 437
0 6 26 401 414
0 6 27 428 471
0 6 32 411 452
0 6 33 420 423
0 6 34 401 439
0 6 35 351 388
0 6 37 406 449
0 6 38 462 481
0 6 40 405 428
0 6 41 376 418
0 6 42 444 486
0 6 43 409 449
0 6 49 434 475
0 6 51 434 476
0 6 53 435 481
0 6 55 401 437
0 7 1 368 409
0 7 2 412 458
0 7 5 429 474
0 7 6 503 610
0 7 7 0 1023
0 7 8 341 380
0 7 9 498 554
0 7 10 451 498
0 7 13 470 619
0 7 17 389 431
0 7 18 403 451
0 7 21 470 520
0 7 22 422 472
0 7 23 471 543
0 7 24 452 500
0 7 25 392 431
0 7 26 431 503
0 7 27 488 532
0 7 28 386 439
0 7 29 0 1023
0 7 30 426 480
0 7 33 464 533
0 7 35 433 477
0 7 37 490 548
0 7 39 398 441
0 7 46 389 436
0 7 50 460 517
0 7 51 454 519
0 7 53 405 451
0 7 57 422 474
