#
# Map file for Tiger setup. 
# Structure: gemroc 	 tiger # 	 tiger channel 	 detector 	 channel
# Detectors:
# - -1: not connected
# - 0: scintillator:
#   - channel 0 - triple scintillator coinsidence [non-scaled]
#   - channel 1 - sci1
#   - channel 2 - sci2
#   - channel 3 - triple scintillator coinsidence prescaled
#   - channel 4 - master clock (10ms)
#   - channel 5 - master clock (50us)
# - 1: straw
# - 2: MM layer 0
# - 3: MM layer 1
# - 4: MM layer 2
# - 5: MM layer 3
# - 6: Additional straws:
#   - channel 0 - SHiP straw
#   - channel 1 - neutron straw
# - 7: lemo connector without additional description
#
# TIGER FEB 0: MM, layer 0, vertical axis (up) with A-board in central connector
0	0	0	2	128
0	0	1	2	153
0	0	2	2	126
0	0	3	2	177
0	0	4	2	144
0	0	5	2	183
0	0	6	2	142
0	0	7	2	178
0	0	8	2	146
0	0	9	2	181
0	0	10	2	149
0	0	11	2	165
0	0	12	2	143
0	0	13	2	179
0	0	14	2	134
0	0	15	2	157
0	0	16	2	130
0	0	17	2	167
0	0	18	2	131
0	0	19	2	158
0	0	20	2	123
0	0	21	2	147
0	0	22	2	125
0	0	23	2	145
0	0	24	2	124
0	0	25	2	161
0	0	26	-1	0
0	0	27	2	163
0	0	28	-1	0
0	0	29	2	154
0	0	30	2	133
0	0	31	2	155
0	0	32	2	176
0	0	33	2	150
0	0	34	2	175
0	0	35	2	152
0	0	36	2	129
0	0	37	2	166
0	0	38	2	132
0	0	39	2	159
0	0	40	2	137
0	0	41	2	151
0	0	42	2	182
0	0	43	2	171
0	0	44	2	173
0	0	45	2	140
0	0	46	2	174
0	0	47	2	148
0	0	48	2	127
0	0	49	2	156
0	0	50	2	139
0	0	51	2	164
0	0	52	2	138
0	0	53	2	168
0	0	54	2	169
0	0	55	2	160
0	0	56	2	172
0	0	57	2	141
0	0	58	2	180
0	0	59	2	170
0	0	60	2	162
0	0	61	2	136
0	1	0	2	228
0	1	1	2	200
0	1	2	2	193
0	1	3	2	218
0	1	4	2	221
0	1	5	2	188
0	1	6	2	205
0	1	7	2	201
0	1	8	2	190
0	1	9	2	204
0	1	10	2	189
0	1	11	2	219
0	1	12	2	222
0	1	13	2	198
0	1	14	2	226
0	1	15	2	225
0	1	16	2	234
0	1	17	2	192
0	1	18	2	186
0	1	19	2	224
0	1	20	2	233
0	1	21	2	191
0	1	22	2	220
0	1	23	2	223
0	1	24	2	187
0	1	25	2	203
0	1	26	2	229
0	1	27	2	199
0	1	28	2	235
0	1	29	2	202
0	1	30	2	185
0	1	31	2	197
0	1	32	2	184
0	1	33	2	208
0	1	34	-1	0
0	1	35	2	196
0	1	36	-1	0
0	1	37	2	206
0	1	38	-1	0
0	1	39	2	207
0	1	40	-1	0
0	1	41	2	210
0	1	42	-1	0
0	1	43	2	209
0	1	44	-1	0
0	1	45	2	213
0	1	46	-1	0
0	1	47	2	212
0	1	48	-1	0
0	1	49	2	230
0	1	50	2	238
0	1	51	2	232
0	1	52	-1	0
0	1	53	2	194
0	1	54	2	211
0	1	55	2	231
0	1	56	2	237
0	1	57	2	195
0	1	58	-1	0
0	1	59	2	236
0	1	60	2	227
0	1	61	2	135
#
